-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 10/12/2023 
Location: Latitude  18.0   Longitude 74.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 602.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M_RANGE
2013,1,1,29.27,18.51,76.38,0.03,94.38,3.04
2013,1,2,28.19,16.34,78.38,0.0,94.48,3.22
2013,1,3,29.52,15.9,55.5,0.0,94.52,3.3
2013,1,4,28.27,14.77,55.25,0.0,94.5,3.05
2013,1,5,27.51,13.21,63.12,0.0,94.33,3.93
2013,1,6,26.9,11.83,57.38,0.0,94.4,3.62
2013,1,7,28.72,9.76,48.31,0.0,94.45,3.3
2013,1,8,29.66,11.09,54.69,0.0,94.52,2.93
2013,1,9,29.94,12.8,68.94,0.0,94.56,2.42
2013,1,10,29.64,14.42,59.5,0.0,94.51,1.79
2013,1,11,30.94,13.83,48.75,0.0,94.53,2.77
2013,1,12,31.0,13.69,39.44,0.0,94.67,4.02
2013,1,13,31.67,12.86,37.38,0.0,94.57,4.29
2013,1,14,32.2,13.43,41.69,0.0,94.51,2.35
2013,1,15,32.26,14.01,47.69,0.0,94.53,1.87
2013,1,16,31.75,13.34,45.62,0.0,94.56,4.87
2013,1,17,30.3,13.76,57.38,0.0,94.58,3.96
2013,1,18,28.05,13.83,70.94,0.0,94.69,4.19
2013,1,19,30.23,11.51,50.5,0.0,94.65,2.91
2013,1,20,30.74,12.94,50.0,0.0,94.59,1.66
2013,1,21,30.81,13.79,46.12,0.0,94.67,2.8
2013,1,22,31.5,13.33,48.94,0.0,94.66,3.44
2013,1,23,30.74,14.33,48.56,0.0,94.66,3.91
