-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 11/02/2023 
Location: Latitude  19.0816   Longitude 72.8866 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M_RANGE
2000,1,1,32.23,16.11,52.94,0.0,100.0,5.32
2000,1,2,32.05,16.43,49.56,0.0,100.09,6.94
2000,1,3,32.2,15.26,47.19,0.0,100.02,6.32
2000,1,4,32.46,15.23,46.69,0.0,99.98,6.07
2000,1,5,31.99,15.53,45.44,0.0,100.0,6.28
2000,1,6,32.44,14.79,40.12,0.0,100.07,5.65
2000,1,7,32.24,14.37,37.75,0.0,100.06,7.25
2000,1,8,33.22,14.15,39.44,0.0,100.0,6.41
2000,1,9,34.1,14.85,42.56,0.0,99.94,5.55
2000,1,10,33.75,15.75,46.31,0.0,99.9,3.62
2000,1,11,33.83,16.7,54.06,0.0,99.88,3.28
2000,1,12,30.66,18.28,70.12,0.0,99.99,3.5
2000,1,13,30.93,15.58,68.0,0.0,100.05,2.77
2000,1,14,30.47,15.32,54.44,0.0,99.95,1.74
2000,1,15,29.09,13.87,41.12,0.0,100.05,1.83
2000,1,16,30.65,12.3,45.06,0.0,100.07,2.98
2000,1,17,35.55,17.77,55.31,0.0,100.07,3.34
2000,1,18,36.23,20.24,49.62,0.0,100.23,6.5
2000,1,19,35.52,20.37,47.81,0.0,100.24,3.44
2000,1,20,33.53,17.87,44.56,0.0,100.09,2.86
2000,1,21,30.76,17.23,55.56,0.0,100.15,2.15
2000,1,22,30.82,15.83,60.81,0.0,100.22,3.73
2000,1,23,31.48,16.38,59.5,0.0,100.19,3.22
2000,1,24,33.74,16.52,53.38,0.0,100.19,2.63
2000,1,25,35.22,16.14,43.75,0.0,100.18,4.66
2000,1,26,34.11,17.08,46.19,0.0,100.23,3.52
2000,1,27,34.42,16.32,44.06,0.0,100.16,3.91
2000,1,28,35.58,17.4,38.19,0.0,100.15,5.99
2000,1,29,35.26,17.79,36.38,0.0,100.3,6.25
2000,1,30,35.83,17.6,33.06,0.0,100.33,5.19
2000,1,31,34.12,17.04,39.5,0.0,100.3,3.81
2000,2,1,30.28,17.06,72.5,0.0,100.13,3.72
2000,2,2,30.08,18.6,72.19,0.0,100.17,3.71
2000,2,3,30.12,18.12,68.44,0.0,100.37,3.49
2000,2,4,30.64,15.55,66.5,0.0,100.2,2.49
2000,2,5,28.55,18.19,73.25,0.0,100.09,3.68
2000,2,6,28.99,15.27,70.5,0.0,100.08,3.14
2000,2,7,31.5,16.3,57.12,0.0,100.02,3.53
2000,2,8,30.17,14.78,44.69,0.0,99.99,2.2
2000,2,9,33.52,14.23,39.56,0.0,100.01,3.65
2000,2,10,31.65,15.84,53.38,0.0,100.05,3.49
2000,2,11,30.12,17.47,64.44,0.0,100.06,3.54
2000,2,12,29.55,15.78,61.5,0.0,100.03,2.8
2000,2,13,31.9,13.42,34.0,0.0,99.95,2.83
2000,2,14,34.77,16.43,35.56,0.0,99.88,3.47
2000,2,15,36.88,20.2,45.56,0.0,99.92,3.01
2000,2,16,35.48,20.66,35.5,0.0,100.03,3.96
2000,2,17,33.42,16.99,29.12,0.0,99.94,2.62
2000,2,18,34.49,14.87,27.38,0.0,99.87,2.52
2000,2,19,32.63,15.3,41.81,0.0,99.83,4.16
2000,2,20,29.41,17.44,65.38,0.0,99.79,4.7
2000,2,21,30.84,17.87,63.75,0.0,99.88,4.2
2000,2,22,33.4,16.8,53.62,0.0,99.87,5.22
2000,2,23,33.87,17.45,55.19,0.0,99.9,5.9
2000,2,24,33.81,19.8,59.75,0.11,100.01,4.32
2000,2,25,33.62,21.01,59.38,0.0,99.97,5.14
2000,2,26,36.05,19.9,42.69,0.0,99.78,5.02
2000,2,27,37.56,18.91,35.88,0.0,99.76,4.27
2000,2,28,38.95,21.12,32.44,0.0,99.95,4.84
2000,2,29,39.25,21.06,26.19,0.0,100.0,5.3
2000,3,1,39.2,20.05,24.25,0.0,99.89,5.02
2000,3,2,36.95,21.05,30.44,0.0,99.96,3.91
2000,3,3,36.37,18.76,50.38,0.0,100.01,3.39
2000,3,4,35.07,18.29,56.94,0.0,100.02,4.17
2000,3,5,34.05,17.71,55.06,0.0,99.96,3.38
2000,3,6,32.35,17.76,50.19,0.0,99.95,4.67
2000,3,7,30.72,18.25,60.12,0.0,100.07,3.47
2000,3,8,34.19,15.89,42.44,0.0,100.05,3.38
2000,3,9,35.77,17.18,28.38,0.0,99.93,3.84
2000,3,10,35.84,18.52,37.0,0.0,99.92,4.35
2000,3,11,35.73,18.78,48.81,0.0,99.92,4.1
2000,3,12,34.91,19.49,62.56,0.0,99.83,5.18
2000,3,13,32.1,21.01,65.56,0.0,99.77,5.57
2000,3,14,33.93,21.38,55.62,0.0,99.95,5.29
2000,3,15,34.51,18.51,53.69,0.0,100.04,4.7
2000,3,16,34.23,18.3,55.62,0.0,99.94,3.36
2000,3,17,35.16,17.78,60.38,0.0,99.74,3.02
2000,3,18,36.73,19.26,57.38,0.0,99.8,5.02
2000,3,19,38.1,19.19,44.5,0.0,99.84,3.63
2000,3,20,40.26,19.59,22.31,0.0,99.69,4.25
2000,3,21,39.64,21.51,29.19,0.0,99.73,5.43
2000,3,22,36.33,19.84,55.12,0.0,99.84,5.63
2000,3,23,39.29,18.6,40.94,0.0,99.87,3.02
2000,3,24,41.44,21.48,16.19,0.0,99.8,6.47
2000,3,25,41.39,23.24,20.0,0.0,99.82,5.25
2000,3,26,40.62,23.8,28.06,0.01,99.84,5.07
2000,3,27,41.03,23.23,27.81,0.0,99.78,5.63
2000,3,28,41.15,23.15,29.56,0.0,99.72,4.05
2000,3,29,42.01,23.91,33.81,0.0,99.72,4.26
2000,3,30,41.37,23.08,40.12,0.0,99.72,5.84
2000,3,31,42.57,22.73,44.0,0.0,99.58,5.12
2000,4,1,44.33,23.84,24.25,0.0,99.43,2.93
2000,4,2,43.18,24.35,28.5,0.0,99.45,4.06
2000,4,3,43.31,24.05,43.25,0.0,99.49,5.74
2000,4,4,39.22,25.12,58.44,0.0,99.6,4.8
2000,4,5,38.08,24.24,57.44,0.0,99.62,4.83
2000,4,6,39.71,23.72,55.69,0.0,99.58,5.7
2000,4,7,40.58,24.43,54.81,0.0,99.72,6.63
2000,4,8,37.73,25.2,59.19,0.0,99.86,4.45
2000,4,9,40.2,24.6,54.5,0.0,99.73,5.69
2000,4,10,39.95,23.94,54.81,0.0,99.69,6.49
2000,4,11,40.23,21.83,50.38,0.0,99.54,5.05
2000,4,12,39.48,23.64,60.25,0.0,99.54,6.07
2000,4,13,37.62,23.04,64.88,0.0,99.49,5.24
2000,4,14,36.0,24.25,62.62,0.0,99.5,3.71
2000,4,15,37.19,24.26,61.12,0.0,99.61,3.98
2000,4,16,37.98,23.0,61.38,0.0,99.68,5.2
2000,4,17,39.21,23.16,60.38,0.0,99.6,6.22
2000,4,18,41.4,24.2,55.62,0.01,99.61,5.75
2000,4,19,41.87,24.42,48.69,0.0,99.7,6.88
2000,4,20,43.63,24.58,46.56,0.0,99.52,6.51
2000,4,21,40.15,25.28,54.62,0.0,99.59,6.53
2000,4,22,37.44,25.37,58.69,0.0,99.71,4.6
2000,4,23,39.58,24.93,56.56,0.0,99.68,5.34
2000,4,24,38.91,23.95,60.06,0.0,99.69,5.66
2000,4,25,37.15,25.06,63.25,0.0,99.62,6.16
2000,4,26,37.17,25.37,62.12,0.0,99.6,5.4
2000,4,27,39.74,25.08,60.38,0.0,99.53,6.24
2000,4,28,39.36,23.33,62.5,0.0,99.57,5.72
2000,4,29,39.91,23.45,60.69,0.0,99.68,6.71
2000,4,30,41.54,23.3,57.25,0.0,99.72,6.63
2000,5,1,41.8,22.73,55.56,0.0,99.65,5.43
2000,5,2,40.16,22.8,62.0,0.0,99.65,5.68
2000,5,3,38.26,24.66,65.31,0.0,99.73,4.6
2000,5,4,38.32,25.19,61.38,0.0,99.66,4.66
2000,5,5,39.83,26.0,58.88,0.09,99.61,5.59
2000,5,6,36.94,26.23,65.06,0.09,99.63,5.12
2000,5,7,37.87,25.11,62.31,0.0,99.68,3.9
2000,5,8,36.54,24.59,60.0,0.05,99.68,4.55
2000,5,9,35.62,25.14,62.0,0.14,99.7,3.3
2000,5,10,36.9,25.44,59.69,0.04,99.64,5.56
2000,5,11,36.49,24.68,62.44,0.0,99.65,5.12
2000,5,12,36.01,24.44,60.69,0.0,99.68,4.66
2000,5,13,35.76,24.91,63.19,0.0,99.74,4.71
2000,5,14,36.33,25.6,60.5,0.0,99.73,4.02
2000,5,15,35.33,26.93,64.5,0.37,99.66,5.08
2000,5,16,31.65,26.67,71.06,12.72,99.62,2.7
2000,5,17,30.05,26.24,82.75,21.6,99.48,3.98
2000,5,18,28.17,25.17,88.75,185.4,99.33,3.65
2000,5,19,31.26,25.3,79.5,13.04,99.35,3.73
2000,5,20,31.94,24.76,77.75,0.08,99.46,3.93
2000,5,21,32.24,24.73,79.25,0.17,99.5,3.04
2000,5,22,32.69,24.87,76.75,0.4,99.5,2.66
2000,5,23,33.19,24.69,76.38,0.72,99.44,3.37
2000,5,24,33.16,25.44,78.62,0.28,99.39,3.58
2000,5,25,33.85,25.94,78.19,0.08,99.39,3.68
2000,5,26,33.23,26.22,77.62,0.06,99.25,3.3
2000,5,27,32.98,25.83,78.94,7.52,99.28,2.69
2000,5,28,32.02,25.89,83.12,5.8,99.32,2.7
2000,5,29,31.62,25.87,83.88,8.92,99.45,4.27
2000,5,30,30.48,25.76,82.69,5.97,99.53,4.56
2000,5,31,31.95,25.91,79.0,6.45,99.51,3.66
2000,6,1,32.19,25.73,80.69,6.07,99.31,4.22
